r2_cid,r2_sid
"DummyConfg","Salinity  "
"DummyConfg","TIC       "
"DummyConfg","Alka      "
"DummyConfg","Continuity"
"DummyConfg","NatTemp   "
"DummyConfg","ModTemp   "
"DummyConfg","EM01      "
"DummyConfg","EM02      "
"DummyConfg","EM03      "
"DummyConfg","EM04      "
"DummyConfg","EM05      "
"DummyConfg","FrCon     "
"DummyConfg","FrFlow    "
"DummyConfg","SalBnd    "
"DummyConfg","Cl        "
"DummyConfg","OXY       "
"DummyConfg","ALLACTIVE "
"DummyConfg","dTR1      "
"DummyConfg","dTR2      "
"DummyConfg","dTR3      "
"DummyConfg","dTR4      "
"DummyConfg","dTR5      "
"DummyConfg","SM01      "
"DummyConfg","SM02      "
"DummyConfg","SM03      "
"DummyConfg","SM04      "
"DummyConfg","SM05      "
"DummyConfg","CO2       "
"DummyConfg","BLOOMALG01"
"DummyConfg","BLOOMALG02"
"DummyConfg","BLOOMALG03"
"DummyConfg","BLOOMALG04"
"DummyConfg","BLOOMALG05"
"DummyConfg","BLOOMALG06"
"DummyConfg","BLOOMALG07"
"DummyConfg","BLOOMALG08"
"DummyConfg","BLOOMALG09"
"DummyConfg","BLOOMALG10"
"DummyConfg","BLOOMALG11"
"DummyConfg","BLOOMALG12"
"DummyConfg","BLOOMALG13"
"DummyConfg","BLOOMALG14"
"DummyConfg","BLOOMALG15"
"DummyConfg","BLOOMALG16"
"DummyConfg","BLOOMALG17"
"DummyConfg","BLOOMALG18"
"DummyConfg","BLOOMALG19"
"DummyConfg","BLOOMALG20"
"DummyConfg","BLOOMALG21"
"DummyConfg","BLOOMALG22"
"DummyConfg","BLOOMALG23"
"DummyConfg","BLOOMALG24"
"DummyConfg","BLOOMALG25"
"DummyConfg","BLOOMALG26"
"DummyConfg","BLOOMALG27"
"DummyConfg","BLOOMALG28"
"DummyConfg","BLOOMALG29"
"DummyConfg","BLOOMALG30"
"DummyConfg","Green     "
"DummyConfg","Diat      "
"DummyConfg","MPB1peli  "
"DummyConfg","MPB2psam  "
"DummyConfg","IM1       "
"DummyConfg","IM2       "
"DummyConfg","IM3       "
"DummyConfg","POC1      "
"DummyConfg","POC2      "
"DummyConfg","DOC       "
"DummyConfg","POC3      "
"DummyConfg","POC4      "
"DummyConfg","EffTFDIAT "
"DummyConfg","EffTFFLAE "
"DummyConfg","EffTGREEN "
"DummyConfg","EffTAPHAN "
"DummyConfg","EffTAPHNF "
"DummyConfg","EffTMICRO "
"DummyConfg","EffTOSCIL "
"DummyConfg","EffTBLUEG "
"DummyConfg","EffTMDIAT "
"DummyConfg","EffTMFLAE "
